ID,system,site,sample,month,year,specie,biomass,length,width,season,class,order,habitat,guild,P,MO,CE,Ph,DAP,HR,Ca,Mg,NA,K,N,ARA,RESP,RM_0-5,RM_5=10
856,N,romina,centro,agosto,2008,oppioidea,"1,020,823,856","275,714","1,420,336",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
857,N,romina,centro,agosto,2008,oppioidea,"514,883,864","2,339,815","1,053,304",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
858,N,romina,centro,agosto,2008,oppioidea,"829,067,001","2,472,805","1,388,495",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
859,N,romina,centro,agosto,2008,oppioidea,"781,844,904","2,458,446","1,340,537",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
860,N,romina,centro,agosto,2008,oppioidea,"458,447,472","2,229,967","1,024,954",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
861,N,romina,centro,agosto,2008,oppioidea,"469,127,922","2,265,352","1,023,144",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
862,N,romina,centro,agosto,2008,oppioidea,"984,422,404","2,654,696","1,445,957",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
863,N,romina,centro,agosto,2008,oppioidea,"96,862,987","2,587,101","1,472,652",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
864,N,romina,centro,agosto,2008,oppioidea,"358,107,507","2,201,826","871,888",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
865,N,romina,centro,agosto,2008,oppioidea,"991,737,468","2,696,932","1,427,314",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
866,N,romina,centro,agosto,2008,oppioidea,"875,028,663","2,612,948","1,353,876",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
867,N,romina,centro,agosto,2008,oppioidea,"852,273,517","2,591,486","1,341,374",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
868,N,romina,centro,agosto,2008,oppioidea,"759,798,777","2,555,246","1,256,025",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
869,N,romina,centro,agosto,2008,oppioidea,"485,521,749","22,281,332","1,068,851",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
870,N,romina,centro,agosto,2008,oppioidea,"429,716,783","2,150,507","1,020,614",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
871,N,romina,centro,agosto,2008,oppioidea,"7,584,219","2,481,033","1,297,918",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
872,N,romina,centro,agosto,2008,oppioidea,"355,004,418","2,095,534","917,542",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
873,N,romina,centro,agosto,2008,oppioidea,"483,346,026","2,206,233","1,077,675",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
874,N,romina,centro,agosto,2008,oppioidea,"428,427,912","2,126,932","103,15",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
875,N,romina,centro,agosto,2008,oppioidea,"497,219,006","2,311,741","1,041,814",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
876,N,romina,centro,agosto,2008,oppioidea,"383,204,581","2,141,264","945,125",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
877,N,romina,centro,agosto,2008,oppioidea,"452,360,298","2,155,243","1,056,054",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
878,N,romina,centro,agosto,2008,oppioidea,"549,934,543","2,325,286","1,112,023",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
879,N,romina,centro,agosto,2008,oppioidea,"388,188,002","2,021,021","1,019,861",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
880,N,romina,centro,agosto,2008,oppioidea,"651,219,189","2,202,337","1,336,146",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
881,N,romina,centro,agosto,2008,oppioidea,"507,715,447","2,402,205","1,011,533",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
882,N,romina,centro,agosto,2008,oppioidea,"452,650,835","2,085,787","1,097,355",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
883,N,romina,centro,agosto,2008,oppioidea,"310,994,054","2,129,129","819,549",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
884,N,romina,centro,agosto,2008,oppioidea,"538,556,251","2,405,174","1,053,544",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
885,N,romina,centro,agosto,2008,oppioidea,"324,683,101","2,132,086","843,801",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
886,N,romina,centro,agosto,2008,oppioidea,"60,413,257","1,142,362","522,594",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
887,N,romina,centro,agosto,2008,oppioidea,"736,453,157","2,426,508","1,304,056",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
888,N,romina,centro,agosto,2008,oppioidea,"733,566,941","2,511,515","1,249,609",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
889,N,romina,centro,agosto,2008,oppioidea,"624,280,384","2,343,818","1,206,311",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
890,N,romina,centro,agosto,2008,oppioidea,"626,796,405","2,282,177","1,247,672",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
891,N,romina,centro,agosto,2008,oppioidea,"72,608,274","2,419,099","1,295,489",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
892,N,romina,centro,agosto,2008,oppioidea,"720,551,574","2,401,625","1,299,286",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
893,N,romina,centro,agosto,2008,oppioidea,"750,136,874","2,409,658","1,332,015",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
894,N,romina,centro,agosto,2008,oppioidea,"662,549,675","2,390,613","1,230,215",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
895,N,romina,centro,agosto,2008,oppioidea,"587,423,845","2,338,652","1,157,953",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
896,N,romina,centro,agosto,2008,oppioidea,"420,555,327","2,247,353","95,508",I,acari,oribatida,euedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
897,N,romina,centro,agosto,2008,veigaioidea,"3,083,947,292","4,047,232","2,088,538",I,acari,mesostigmata,epiedaphic,predator,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
898,N,romina,centro,agosto,2008,veigaioidea,"1,231,062,136","6,129,733","3,863,333",I,acari,mesostigmata,epiedaphic,predator,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
899,N,romina,centro,agosto,2008,rhodacaroidea,"7,957,111,853","5,351,616","3,221,272",I,acari,mesostigmata,euedaphic,predator,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
900,N,romina,centro,agosto,2008,dermanyssoidea,"1,445,466,853","6,455,327","4,111,949",I,acari,mesostigmata,epiedaphic,predator,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
901,N,romina,centro,agosto,2008,oripodoidea,"7,023,428,959","4,454,679","323,278",I,acari,oribatida,hemiedaphic,detritivore,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
902,N,romina,centro,agosto,2008,oripodoidea,"7,409,958,171","4,516,096","3,306,084",I,acari,oribatida,hemiedaphic,detritivore,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
903,N,romina,centro,agosto,2008,galumnioidea,"2,598,066,904","6,800,463","5,694,658",I,acari,oribatida,hemiedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
904,N,romina,centro,agosto,2008,crotonioidea,"1,426,729,847","295,668","150,158",I,acari,oribatida,hemiedaphic,microphytophages,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
905,N,romina,centro,agosto,2008,ceratozetoidea,"1,220,653,838","5,875,518","3,510,786",I,acari,oribatida,euedaphic,detritivore,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
906,N,romina,centro,agosto,2008,ceratozetoidea,"9,792,233,907","5,227,721","3,601,672",I,acari,oribatida,euedaphic,detritivore,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
907,N,romina,centro,agosto,2008,oripodoidea,"6,167,241,717","4,439,001","2,958,153",I,acari,oribatida,hemiedaphic,detritivore,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
908,N,romina,centro,agosto,2008,Mic_dub,2826000,,,I,engineer,crassiclitellata,euedaphic,detritivore,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
909,N,romina,centro,agosto,2008,Mic_dub,2826000,,,I,engineer,crassiclitellata,euedaphic,detritivore,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
910,N,romina,centro,agosto,2008,Mic_dub,2826000,,,I,engineer,crassiclitellata,euedaphic,detritivore,"18,9","3,11","2,08","8,98","1,44","0,21","5,75","2,38","1,95",1,"3,985","10,321","167,619,048","1,6",20
911,N,romina,centro,febrero,2009,Apo_ros,2345000,,,V,engineer,crassiclitellata,euedaphic,detritivore,"16,1","33,756","27,368","851,333,333,333,333","158,497,411,914,833","121,161,825,726,141","5,65","2,05","1,63","1,47","0,18",48,"1,937",10,7
912,N,romina,centro,mayo,2009,oppioidea,"813,997,477","2,621,875","1,280,669",O,acari,oribatida,euedaphic,microphytophages,"12,1","2,39","3,19","8,68","1,54","0,16","5,9",2,"1,73","1,23",217,201,599,"11,5",19
913,N,romina,centro,mayo,2009,oripodoidea,"6,938,575,869","4,845,377","2,907,749",O,acari,oribatida,hemiedaphic,detritivore,"12,1","2,39","3,19","8,68","1,54","0,16","5,9",2,"1,73","1,23",217,201,599,"11,5",19
914,N,romina,centro,mayo,2009,oppioidea,"922,098,167","2,710,087","1,347,376",O,acari,oribatida,euedaphic,microphytophages,"12,1","2,39","3,19","8,68","1,54","0,16","5,9",2,"1,73","1,23",217,201,599,"11,5",19
915,N,romina,centro,mayo,2009,veigaioidea,"1,598,173,034","6,919,062","3,899,486",O,acari,mesostigmata,epiedaphic,predator,"12,1","2,39","3,19","8,68","1,54","0,16","5,9",2,"1,73","1,23",217,201,599,"11,5",19
916,N,romina,centro,diciembre,2009,rhodacaroidea,"4,822,206,606","4,848,068","226,917",V,acari,mesostigmata,euedaphic,predator,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
917,N,romina,centro,diciembre,2009,dermanyssoidea,"1,015,918,821","596,28","3,292,206",V,acari,mesostigmata,epiedaphic,predator,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
918,N,romina,centro,diciembre,2009,dermanyssoidea,"1,768,157,682","6,782,107","4,622,416",V,acari,mesostigmata,epiedaphic,predator,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
919,N,romina,centro,diciembre,2009,sciaridae,"1,360,825,784","4,223,462","12,144,853",V,macrofauna,diptera,epiedaphic,no_alimenta,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
920,N,romina,centro,diciembre,2009,entomobroidea,"2,579,217,608","788,131","2,969,923",V,collembolla,entomobryomorpha,epiedaphic,microphytophages,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
921,N,romina,centro,diciembre,2009,entomobroidea,"277,572,157","8,114,324","2,718,913",V,collembolla,entomobryomorpha,epiedaphic,microphytophages,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
922,N,romina,centro,diciembre,2009,entomobroidea,"2,482,239,104","7,762,355","1,990,768",V,collembolla,entomobryomorpha,epiedaphic,microphytophages,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
923,N,romina,centro,diciembre,2009,entomobroidea,"96,625,399","5,338,182","1,290,304",V,collembolla,entomobryomorpha,epiedaphic,microphytophages,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
924,N,romina,centro,diciembre,2009,galumnioidea,"2,384,109,675","6,738,225","5,300,388",V,acari,oribatida,hemiedaphic,microphytophages,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
925,N,romina,centro,diciembre,2009,hypogastruridae,"1,532,074,773","4,835,301","1,617,724",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
926,N,romina,centro,diciembre,2009,hypogastruridae,"1,116,627,256","10,536,809","3,335,015",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
927,N,romina,centro,diciembre,2009,hypogastruridae,"1,175,452,277","10,751,101","3,454,036",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
928,N,romina,centro,diciembre,2009,hypogastruridae,"1,231,935,363","1,095,081","3,511,067",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
929,N,romina,centro,diciembre,2009,hypogastruridae,"1,654,908,511","4,983,775","160,176",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
930,N,romina,centro,diciembre,2009,hypogastruridae,"1,518,170,452","48,180,444","1,297,931",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
931,N,romina,centro,diciembre,2009,hypogastruridae,"3,102,102,884","6,376,334","1,753,037",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
932,N,romina,centro,diciembre,2009,hypogastruridae,"1,929,352,505","5,292,865","139,807",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
933,N,romina,centro,diciembre,2009,hypogastruridae,"1,839,207,338","12,814,401","3,302,157",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
934,N,romina,centro,diciembre,2009,hypogastruridae,"1,226,561,437","10,932,052","2,095,746",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
935,N,romina,centro,diciembre,2009,hypogastruridae,"9,463,060,082","9,874,661","3,365,153",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
936,N,romina,centro,diciembre,2009,hypogastruridae,"5,164,724,186","7,787,374","2,334,181",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
937,N,romina,centro,diciembre,2009,hypogastruridae,"7,727,321,354","9,120,347","3,429,518",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
938,N,romina,centro,diciembre,2009,hypogastruridae,"653,030,415","8,537,809","2,811,511",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
939,N,romina,centro,diciembre,2009,hypogastruridae,"1,298,760,971","4,531,959","1,240,486",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
940,N,romina,centro,diciembre,2009,hypogastruridae,"3,347,798,636","6,569,808","2,589,926",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
941,N,romina,centro,diciembre,2009,hypogastruridae,"5,001,049,868","7,689,646","2,196,621",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
942,N,romina,centro,diciembre,2009,hypogastruridae,"41,037,446","7,115,863","2,100,719",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
943,N,romina,centro,diciembre,2009,hypogastruridae,"3,600,923,342","6,760,304","1,720,847",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
944,N,romina,centro,diciembre,2009,hypogastruridae,"4,144,172,532","7,143,272","1,888,898",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
945,N,romina,centro,diciembre,2009,hypogastruridae,"3,422,277,006","6,626,742","1,852,388",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
946,N,romina,centro,diciembre,2009,hypogastruridae,"1,264,574,329","4,484,798","1,213,013",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
947,N,romina,centro,diciembre,2009,hypogastruridae,"2,010,833,091","5,379,423","1,334,406",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
948,N,romina,centro,diciembre,2009,hypogastruridae,"517,448,308","3,159,044","834,404",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
949,N,romina,centro,diciembre,2009,hypogastruridae,"4,535,949,751","7,400,851","240,094",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
950,N,romina,centro,diciembre,2009,hypogastruridae,"4,414,827,963","7,322,714","2,812,024",V,collembolla,poduromorpha,hemiedaphic,omnivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
951,N,romina,centro,diciembre,2009,oripodoidea,"4,982,507,346","419,549","271,144",V,acari,oribatida,hemiedaphic,detritivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
952,N,romina,centro,diciembre,2009,oripodoidea,"2,640,056,342","3,493,476","2,129,104",V,acari,oribatida,hemiedaphic,detritivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
953,N,romina,centro,diciembre,2009,oppioidea,"576,002,862","2,196,694","1,227,637",V,acari,oribatida,euedaphic,microphytophages,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
954,N,romina,centro,diciembre,2009,oppioidea,"587,895,037","2,174,934","1,260,121",V,acari,oribatida,euedaphic,microphytophages,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
955,N,romina,centro,diciembre,2009,oripodoidea,"3,980,435,509","3,843,035","2,556,475",V,acari,oribatida,hemiedaphic,detritivore,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
956,N,romina,centro,diciembre,2009,trombidioidea,"160,089,245","4,102,574","2,141,426",V,acari,trombidiformes,hemiedaphic,predator,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
957,N,romina,centro,diciembre,2009,trombidioidea,"1,582,257,076","4,086,593","2,633,445",V,acari,trombidiformes,hemiedaphic,predator,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
958,N,romina,centro,diciembre,2009,veigaioidea,"8,058,471,123","5,387,379","3,216,434",V,acari,mesostigmata,epiedaphic,predator,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
959,N,romina,centro,diciembre,2009,trombidioidea,"1,830,420,169","4,289,954","2,747,458",V,acari,trombidiformes,hemiedaphic,predator,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
960,N,romina,centro,diciembre,2009,trombidioidea,"1,886,157,248","4,333,063","2,809,631",V,acari,trombidiformes,hemiedaphic,predator,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
961,N,romina,centro,diciembre,2009,rhodacaroidea,"6,493,205,306","528,352","2,610,661",V,acari,mesostigmata,euedaphic,predator,"17,2","4,97","3,84","8,94","0,74","0,2","8,5","2,3","2,17","2,96","167,565","18,529,851","0,09","6,5","6,5"
962,N,romina,centro,mayo,2010,hypogastruridae,"952,165,036","4,012,514","1,222,209",O,collembolla,poduromorpha,hemiedaphic,omnivore,"5,55","1,95","4,12","8,91","1,3","0,15","6,5","2,5","2,1","1,9","2,404","34,859,366","0,08",20,20
